Name,LHS,Parallax,SpType,Bmag,Vmag
LHS 3003,3003,0.15249,M7.0 V,18.39,17.141
GJ  644,429,0.15496,M7.0 V,18.7,16.916
LHS 292,292,0.2203,M6.5 V,17.7,15.784
GJ 1111,248,0.2758,M6.0 V,16.87,14.81
LHS 2090,2090,0.15687,M6.0 V,17.3,16.1
GJ  406,36,0.4191,M5.5 V,15.541,13.507
GJ  412,39,0.20567,M5.5 V,16.45,14.45
G 180-060,,0.156,M5.0 V,16.5,14.763
LHS 288,288,0.2097,M5.5 V,15.74,13.92
GJ  551,49,0.76885,M5.0 V,12.95,11.13
GJ   65,9,0.3737,M5.5 V,13.93,12.08
GJ  223.2,32,0.15605,DZ9,15.49,14.45
GJ 1002,2,0.213,M5.0 V,15.72,13.837
GJ 1221,455,0.1647,DXP9,14.55,14.15
GJ 1061,1565,0.27201,M5.0 V,14.98,13.07
GJ  473,333,0.2279,M5.0 V,14.313,12.467
GJ  905,549,0.31637,M5.5 V,14.19,12.28
GJ 1156,324,0.1529,M4.5 V,15.62,13.898
GJ   54.1,138,0.26908,M4.0 V,13.885,12.074
GJ   35,7,0.2327,DZ7,12.92,12.374
GJ   83.1,11,0.2248,M4.0 V,14.1,12.298
LHS 337,337,0.15678,M4.0 V,14.43,12.74
GJ  169.1,27,0.18052,DC5,12.77,11.19
GJ 1128,271,0.15305,M4.0 V,14.51,12.78
GJ  299,35,0.1463,M4.0 V,14.6,12.834
LHS 1723,1723,0.18792,M4.0 V,13.92,12.196
GJ  447,315,0.29814,M4.0 V,12.905,11.153
GJ  754,60,0.16917,M4.0 V,13.93,12.23
GJ   15,4,0.27987,M3.5 V,12.84,11.04
GJ  699,57,0.54551,M3.5 V,11.24,9.511
GJ  300,1989,0.1699,M3.5 V,13.7,12.131
GJ  440,43,0.21612,DQ6,11.725,11.513
GJ  234,1849,0.24444,M4.5 V,12.76,11.071
GJ  268,226,0.16341,M4.5 V,13.19,11.519
GJ  729,3414,0.33722,M3.5 V,12.235,10.495
GJ  280,,0.28517,DQZ,10.7,10.92
GJ 2130,,0.16177,M2 V,12.864,11.411
GJ  166,25,0.20065,M4.0 V,12.85,11.17
GJ  643,427,0.15496,M3.0 V,13.436,11.759
GJ  213,31,0.1715,M4.0 V,13.13,11.509
