Wavelength,Flux
3511.4,1.95E-12
3512.8,1.96E-12
3514.2,1.95E-12
3515.6,1.92E-12
3517,1.92E-12
3518.4,1.98E-12
3519.8,2.01E-12
3521.2,2.00E-12
3522.6,1.94E-12
3524,1.88E-12
3525.4,1.84E-12
3526.8,1.85E-12
3528.2,1.90E-12
3529.6,1.90E-12
3531,1.88E-12
3532.4,1.86E-12
3533.8,1.88E-12
3535.2,1.85E-12
3536.6,1.83E-12
3538,1.85E-12
3539.4,1.92E-12
3540.8,1.99E-12
3542.2,2.02E-12
3543.6,2.03E-12
3545,2.07E-12
3546.4,2.03E-12
3547.8,2.00E-12
3549.2,1.99E-12
3550.6,2.01E-12
3552,2.01E-12
3553.4,1.98E-12
3554.8,1.92E-12
3556.2,1.88E-12
3557.6,1.88E-12
3559,1.89E-12
3560.4,1.89E-12
3561.8,1.89E-12
3563.2,1.94E-12
3564.6,1.89E-12
3566,1.78E-12
3567.4,1.69E-12
3568.8,1.66E-12
3570.2,1.67E-12
3571.6,1.68E-12
3573,1.69E-12
3574.4,1.71E-12
3575.8,1.72E-12
3577.2,1.71E-12
3578.6,1.70E-12
3580,1.73E-12
3581.4,1.71E-12
3582.8,1.67E-12
3584.2,1.64E-12
3585.6,1.60E-12
3587,1.54E-12
3588.4,1.50E-12
3589.8,1.53E-12
3591.2,1.62E-12
3592.6,1.70E-12
3594,1.77E-12
3595.4,1.82E-12
3596.8,1.83E-12
3598.2,1.84E-12
3599.6,1.85E-12
3601,1.85E-12
3602.4,1.85E-12
3603.8,1.84E-12
3605.2,1.82E-12
3606.6,1.80E-12
3608,1.79E-12
3609.4,1.82E-12
3610.8,1.83E-12
3612.2,1.79E-12
3613.6,1.75E-12
3615,1.72E-12
3616.4,1.72E-12
3617.8,1.73E-12
3619.2,1.71E-12
3620.6,1.70E-12
3622,1.71E-12
3623.4,1.72E-12
3624.8,1.76E-12
3626.2,1.79E-12
3627.6,1.84E-12
3629,1.93E-12
3630.4,1.96E-12
3631.8,1.88E-12
3633.2,1.75E-12
3634.6,1.70E-12
3636,1.73E-12
3637.4,1.77E-12
3638.8,1.80E-12
3640.2,1.83E-12
3641.6,1.86E-12
3643,1.82E-12
3644.4,1.83E-12
3645.8,1.81E-12
3647.2,1.79E-12
3648.6,1.75E-12
3650,1.72E-12
3651.4,1.72E-12
3652.8,1.79E-12
3654.2,1.84E-12
3655.6,1.87E-12
3657,1.90E-12
3658.4,1.93E-12
3659.8,1.97E-12
3661.2,1.96E-12
3662.6,1.88E-12
3664,1.89E-12
3665.4,1.88E-12
3666.8,1.86E-12
3668.2,1.89E-12
3669.6,1.89E-12
3671,1.87E-12
3672.4,1.85E-12
3673.8,1.93E-12
3675.2,1.92E-12
3676.6,1.90E-12
3678,1.89E-12
3679.4,1.89E-12
3680.8,1.89E-12
3682.2,1.88E-12
3683.6,1.86E-12
3685,1.86E-12
3686.4,1.85E-12
3687.8,1.80E-12
3689.2,1.78E-12
3690.6,1.82E-12
3692,1.90E-12
3693.4,1.98E-12
3694.8,2.00E-12
3696.2,2.00E-12
3697.6,2.02E-12
3699,2.03E-12
3700.4,2.07E-12
3701.8,2.11E-12
3703.2,2.10E-12
3704.6,1.99E-12
3706,1.84E-12
3707.4,1.74E-12
3708.8,1.75E-12
3710.2,1.80E-12
3711.6,1.81E-12
3713,1.79E-12
3714.4,1.83E-12
3715.8,1.97E-12
3717.2,2.14E-12
3718.6,2.24E-12
3720,2.17E-12
3721.4,1.95E-12
3722.8,1.76E-12
3724.2,1.76E-12
3725.6,1.90E-12
3727,2.05E-12
3728.4,2.13E-12
3729.8,2.18E-12
3731.2,2.22E-12
3732.6,2.11E-12
3734,1.91E-12
3735.4,1.74E-12
3736.8,1.68E-12
3738.2,1.75E-12
3739.6,1.93E-12
3741,2.12E-12
3742.4,2.26E-12
3743.8,2.31E-12
3745.2,2.27E-12
3746.6,2.14E-12
3748,1.97E-12
3749.4,1.78E-12
3750.8,1.56E-12
3752.2,1.51E-12
3753.6,1.72E-12
3755,2.01E-12
3756.4,2.20E-12
3757.8,2.27E-12
3759.2,2.24E-12
3760.6,2.20E-12
3762,2.22E-12
3763.4,2.28E-12
3764.8,2.35E-12
3766.2,2.35E-12
3767.6,2.24E-12
3769,2.04E-12
3770.4,1.83E-12
3771.8,1.69E-12
3773.2,1.76E-12
3774.6,1.93E-12
3776,2.13E-12
3777.4,2.36E-12
3778.8,2.58E-12
3780.2,2.74E-12
3781.6,2.89E-12
3783,2.98E-12
3784.4,2.95E-12
3785.8,2.84E-12
3787.2,2.71E-12
3788.6,2.68E-12
3790,2.60E-12
3791.4,2.51E-12
3792.8,2.41E-12
3794.2,2.24E-12
3795.6,2.04E-12
3797,1.84E-12
3798.4,1.70E-12
3799.8,1.79E-12
3801.2,2.03E-12
3802.6,2.29E-12
3804,2.52E-12
3805.4,2.68E-12
3806.8,2.75E-12
3808.2,2.81E-12
3809.6,2.94E-12
3811,3.03E-12
3812.4,3.02E-12
3813.8,2.96E-12
3815.2,2.94E-12
3816.6,2.93E-12
3818,2.97E-12
3819.4,2.96E-12
3820.8,2.93E-12
3822.2,2.92E-12
3823.6,2.85E-12
3825,2.70E-12
3826.4,2.57E-12
3827.8,2.47E-12
3829.2,2.35E-12
3830.6,2.22E-12
3832,2.06E-12
3833.4,1.84E-12
3834.8,1.65E-12
3836.2,1.58E-12
3837.6,1.67E-12
3839,1.87E-12
3840.4,2.09E-12
3841.8,2.33E-12
3843.2,2.56E-12
3844.6,2.69E-12
3846,2.78E-12
3847.4,2.89E-12
3848.8,2.97E-12
3850.2,3.01E-12
3851.6,3.10E-12
3853,3.18E-12
3854.4,3.18E-12
3855.8,3.15E-12
3857.2,3.13E-12
3858.6,3.12E-12
3860,3.08E-12
3861.4,3.11E-12
3862.8,3.19E-12
3864.2,3.25E-12
3865.6,3.26E-12
3867,3.27E-12
3868.4,3.25E-12
3869.8,3.20E-12
3871.2,3.12E-12
3872.6,3.03E-12
3874,2.99E-12
3875.4,2.98E-12
3876.8,2.94E-12
3878.2,2.85E-12
3879.6,2.77E-12
3881,2.72E-12
3882.4,2.63E-12
3883.8,2.44E-12
3885.2,2.20E-12
3886.6,1.94E-12
3888,1.74E-12
3889.4,1.66E-12
3890.8,1.72E-12
3892.2,1.89E-12
3893.6,2.11E-12
3895,2.32E-12
3896.4,2.51E-12
3897.8,2.60E-12
3899.2,2.66E-12
3900.6,2.72E-12
3902,2.77E-12
3903.4,2.78E-12
3904.8,2.78E-12
3906.2,2.81E-12
3907.6,2.90E-12
3909,3.03E-12
3910.4,3.13E-12
3911.8,3.16E-12
3913.2,3.17E-12
3914.6,3.15E-12
3916,3.13E-12
3917.4,3.10E-12
3918.8,3.05E-12
3920.2,3.04E-12
3921.6,3.05E-12
3923,3.11E-12
3924.4,3.07E-12
3925.8,2.93E-12
3927.2,2.75E-12
3928.6,2.51E-12
3930,2.22E-12
3931.4,1.85E-12
3932.8,1.51E-12
3934.2,1.36E-12
3935.6,1.46E-12
3937,1.75E-12
3938.4,2.11E-12
3939.8,2.45E-12
3941.2,2.67E-12
3942.6,2.78E-12
3944,2.83E-12
3945.4,2.87E-12
3946.8,2.89E-12
3948.2,2.87E-12
3949.6,2.85E-12
3951,2.85E-12
3952.4,2.85E-12
3953.8,2.86E-12
3955.2,2.87E-12
3956.6,2.82E-12
3958,2.76E-12
3959.4,2.70E-12
3960.8,2.58E-12
3962.2,2.42E-12
3963.6,2.23E-12
3965,2.00E-12
3966.4,1.72E-12
3967.8,1.44E-12
3969.2,1.26E-12
3970.6,1.25E-12
3972,1.42E-12
3973.4,1.68E-12
3974.8,1.94E-12
3976.2,2.19E-12
3977.6,2.39E-12
3979,2.53E-12
3980.4,2.64E-12
3981.8,2.71E-12
3983.2,2.77E-12
3984.6,2.82E-12
3986,2.86E-12
3987.4,2.89E-12
3988.8,2.94E-12
3990.2,3.01E-12
3991.6,3.10E-12
3993,3.17E-12
3994.4,3.19E-12
3995.8,3.17E-12
3997.2,3.14E-12
3998.6,3.12E-12
4000,3.16E-12
4001.4,3.21E-12
4002.8,3.25E-12
4004.2,3.24E-12
4005.6,3.17E-12
4007,3.17E-12
4008.4,3.20E-12
4009.8,3.27E-12
4011.2,3.32E-12
4012.6,3.33E-12
4014,3.32E-12
4015.4,3.29E-12
4016.8,3.27E-12
4018.2,3.30E-12
4019.6,3.34E-12
4021,3.38E-12
4022.4,3.39E-12
4023.8,3.34E-12
4025.2,3.33E-12
4026.6,3.35E-12
4028,3.37E-12
4029.4,3.33E-12
4030.8,3.19E-12
4032.2,3.11E-12
4033.6,3.09E-12
4035,3.12E-12
4036.4,3.23E-12
4037.8,3.32E-12
4039.2,3.34E-12
4040.6,3.32E-12
4042,3.29E-12
4043.4,3.27E-12
4044.8,3.18E-12
4046.2,3.13E-12
4047.6,3.17E-12
4049,3.29E-12
4050.4,3.34E-12
4051.8,3.32E-12
4053.2,3.27E-12
4054.6,3.24E-12
4056,3.21E-12
4057.4,3.16E-12
4058.8,3.14E-12
4060.2,3.16E-12
