name,logm1,logm2,lograd1,lograd2
V3903 Sgr                 , 1.4357, 1.2790, 0.9078, 0.7871
V467 Vel                  , 1.4031, 0.9165, 0.9996, 0.5428
EM Car                    , 1.3596, 1.3310, 0.9708, 0.9212
DN Cas                    , 1.2797, 1.1377, 0.8585, 0.7627
Y Cyg                     , 1.2485, 1.2487, 0.7623, 0.7646
V478 Cyg                  , 1.2219, 1.2125, 0.8706, 0.8706
AH Cep                    , 1.1818, 1.1335, 0.8048, 0.7679
V578 Mon                  , 1.1626, 1.0124, 0.7332, 0.6325
V453 Cyg                  , 1.1572, 1.0457, 0.9320, 0.7395
CW Cep                    , 1.1310, 1.0821, 0.7547, 0.7141
V380 Cyg                  , 1.0580, 0.8451, 1.1962, 0.5819
DW Car                    , 1.0546, 1.0265, 0.6588, 0.6332
QX Car                    , 0.9669, 0.9284, 0.6324, 0.6076
V1388 Ori                 , 0.8704, 0.7126, 0.7482, 0.5752
V539 Ara                  , 0.7962, 0.7264, 0.6466, 0.5722
CV Vel                    , 0.7830, 0.7747, 0.6107, 0.5955
U Oph                     , 0.7221, 0.6756, 0.5363, 0.4926
DI Her                    , 0.7147, 0.6565, 0.4281, 0.3939
EP Cru                    , 0.7007, 0.6839, 0.5551, 0.5434
V760 Sco                  , 0.6972, 0.6646, 0.4790, 0.4216
ASAS J180057-2333.8       , 0.6914, 0.6880, 1.7170, 1.8301
MU Cas                    , 0.6599, 0.6684, 0.5647, 0.6222
OGLE SMC108.1 14904       , 0.6450, 0.6463, 1.6716, 1.8065
OGLE-LMC-CEP0227          , 0.6196, 0.6164, 1.5431, 1.6518
OGLE-LMC-ECL06575         , 0.6183, 0.5984, 1.5998, 1.6933
GG Lup                    , 0.6145, 0.3995, 0.3764, 0.2368
zeta Phe                  , 0.5944, 0.4067, 0.4550, 0.2679
OGLE-LMC562.05.9009       , 0.5682, 0.5563, 1.4564, 1.4249
V413 Ser                  , 0.5658, 0.5263, 0.5065, 0.4669
chi2 Hya                  , 0.5579, 0.4213, 0.6419, 0.3355
OGLE-LMC-ECL26122         , 0.5555, 0.5329, 1.5147, 1.3615
OGLE-LMC-ECL01866         , 0.5533, 0.5532, 1.4502, 1.6717
IQ Per                    , 0.5467, 0.2398, 0.3885, 0.1770
OGLE SMC113.3 4007        , 0.5446, 0.5516, 1.6609, 1.6848
OGLE-LMC-ECL10567         , 0.5244, 0.5028, 1.4082, 1.5563
OGLE-LMC-ECL09114         , 0.5189, 0.5062, 1.4180, 1.2704
V906 Sco                  , 0.5123, 0.5287, 0.5459, 0.6552
psi Cen                   , 0.4891, 0.2767, 0.5588, 0.2555
OGLE-LMC-ECL09660         , 0.4726, 0.4754, 1.3757, 1.6422
V451 Oph                  , 0.4434, 0.3722, 0.4216, 0.3071
PV Cas                    , 0.4409, 0.4487, 0.3533, 0.3612
OGLE SMC101.8 14077       , 0.4354, 0.4526, 1.2529, 1.3777
V4089 Sgr                 , 0.4123, 0.2060, 0.5981, 0.2055
AR Aur                    , 0.4055, 0.3725, 0.2550, 0.2634
WX Cep                    , 0.4047, 0.3672, 0.6014, 0.4331
TZ Men                    , 0.3957, 0.1772, 0.3045, 0.1559
V1031 Ori                 , 0.3932, 0.3591, 0.6356, 0.4738
V396 Cas                  , 0.3798, 0.2790, 0.4136, 0.2502
beta Aur                  , 0.3758, 0.3600, 0.4412, 0.4096
GG Ori                    , 0.3696, 0.3688, 0.2676, 0.2625
V541 Cyg                  , 0.3683, 0.3541, 0.2693, 0.2572
V364 Lac                  , 0.3679, 0.3610, 0.5194, 0.4749
SZ Cen                    , 0.3649, 0.3574, 0.6584, 0.5592
V624 Her                  , 0.3583, 0.2744, 0.4814, 0.3442
YZ Cas                    , 0.3547, 0.1222, 0.4023, 0.1242
CoRoT 105906206           , 0.3522, 0.1106, 0.6274, 0.1271
SW CMa                    , 0.3501, 0.3230, 0.4791, 0.3971
OGLE LMC-ECL-25658        , 0.3481, 0.3483, 1.3306, 1.4404
V1229 Tau                 , 0.3465, 0.2003, 0.2655, 0.1945
GZ CMa                    , 0.3436, 0.3021, 0.3965, 0.3286
PT Vel                    , 0.3420, 0.2111, 0.3210, 0.1928
V1647 Sgr                 , 0.3402, 0.2949, 0.2627, 0.2217
FT Ori                    , 0.3389, 0.2512, 0.2695, 0.2084
KIC 9246715               , 0.3367, 0.3322, 0.9227, 0.9191
