Star,RA (2000),Dec(2000),Umag,Bmag,Vmag,SpType,
 V342 Tau                    ,57.055448,23.979752,12.7,18.85,17.81,~              ,
 LX Tau                      ,55.864304,22.628161,14.8,20.9,19.3,~              ,
 V356 Tau                    ,57.295958,24.3476,13.1,19.18,17.43,~              ,
 V344 Tau                    ,57.084517,24.915358,12.7,18.77,17.09,~              ,
 V663 Tau                    ,57.302667,25.702092,14,18.731,17.074,~              ,
 V489 Tau                    ,54.92796,23.90775,14.2,18.73,17.85,~              ,
 V849 Tau                    ,56.073954,24.446375,14,18.1,16.59,~              ,
 V871 Tau                    ,57.105125,24.240614,14.7,18.6,17.63,~              ,
 V346 Tau                    ,57.09485,23.972569,12.9,16.34,14.84,~              ,
 V598 Tau                    ,55.00775,24.77394,15.8,18.9,17.69,~              ,
 V764 Tau                    ,57.704,22.67006,14.6,17.609,16.03,~              ,
 V866 Tau                    ,56.95737,24.42872,16.8,19.7,18.18,~              ,
 V873 Tau                    ,57.166262,24.211967,15.4,18.28,16.68,~              ,
 V488 Tau                    ,54.87167,23.49939,12.8,15.6,14.23,~              ,
 OP Tau                      ,56.42371,25.68681,14,16.77,15.3,~              ,
 V384 Tau                    ,57.908425,23.183169,12,14.74,13.47,~              ,
 V629 Tau                    ,56.041288,24.267797,15.2,17.915,16.358,~              ,
 V340 Tau                    ,57.024237,23.034183,15.3,17.85,16.16,~              ,
 V398 Tau                    ,58.420647,24.419393,15.2,17.679,16.13,~              ,
 V645 Tau                    ,56.806913,23.831533,14.7,17.13,15.78,~              ,
 V627 Tau                    ,56.01179,25.65633,12,14.295,13.145,~              ,
 V1051 Tau                   ,57.8202729,23.8266103,11.1,13.37,12.37,~              ,
 V533 Tau                    ,56.70325,23.068744,15.5,17.682,16.155,~              ,
 V359 Tau                    ,57.36517,24.53175,15.7,17.522,15.991,~              ,
 V667 Tau                    ,57.39546,23.45469,14,15.705,14.348,~              ,
 KU Tau                      ,55.00075,23.435015,15.8,17.495,15.937,~              ,
 V800 Tau                    ,57.73925,24.10861,16.5,18.153,16.572,~              ,
 V784 Tau                    ,55.44617,22.85703,14.5,16.082,14.625,~              ,
 V519 Tau                    ,56.317175,24.121186,16.3,17.796,16.239,~              ,
 V787 Tau                    ,56.43365,24.074119,14.2,15.63,14.23,~              ,
 V759 Tau                    ,57.238942,24.328839,16.2,17.489,15.909,~              ,
 NO Tau                      ,56.111983,24.408839,16.4,17.569,16.068,~              ,
 V381 Tau                    ,57.85167,24.08742,13.7,14.74,13.53,~              ,
 V889 Tau                    ,58.719,24.57625,13.5,14.51,13.167,~              ,
 V888 Tau                    ,58.6165,23.83542,13.5,14.381,13.07,~              ,
 V1091 Tau                   ,57.64883,25.4265,12.2,13.026,12.095,~              ,
 V550 Tau                    ,57.33567,25.81803,14.5,15.32,13.97,~              ,
 V749 Tau                    ,56.521854,22.981656,14.6,15.407,14.001,~              ,
 V1211 Tau                   ,57.7143471,23.3290786,12.9,13.52,12.45,~              ,
 V1054 Tau                   ,57.91365,24.548906,12.7,13.15,12.15,~              ,
 V740 Tau                    ,56.01871,25.85628,13.6,13.949,12.847,~              ,
 V1245 Tau                   ,57.9474904,25.2018583,12.4,12.65,11.92,~              ,
 V579 Tau                    ,58.87083,23.77244,15.3,15.456,14.121,~              ,
 NZ Tau                      ,56.30475,24.25661,15.8,15.8,19.8,~              ,
 LN Tau                      ,55.6095,24.23553,14.3,14.3,17.83,~              ,
 OR Tau                      ,56.325585,25.099545,15.7,15.69,14.32,~              ,
Cl* Melotte 22 HII 193         ,55.9612617,24.2474933,12.46,12.1,11.29,~              ,
 V789 Tau                    ,56.52875,24.56281,14.7,14.14,13.02,~              ,
Cl* Melotte 22 DH 176          ,55.3659462,23.7083397,12.562,11.969,11.178,~              ,
Cl* Melotte 22 MSK 17          ,56.006967,23.862847,20.124,19.17,17.22,~              ,
Cl* Melotte 22 DH 390          ,56.342479,23.471731,14.494,13.54,12.48,~              ,
 LU Tau                      ,55.790604,24.692492,20.523,17.97,16.37,~              ,
HD 23402                       ,56.4162433,22.69446,8.12,8.01,7.83,A0             ,
* 24 Tau                       ,56.8376583,24.1162661,6.26,6.3,6.28,A0V            ,
HD 23489                       ,56.6136629,24.2549975,7.56,7.44,7.34,A2V            ,
HD 23512                       ,56.6424871,23.6240125,8.72,8.44,8.09,A2V            ,
* 17 Tau                       ,56.21890368,24.11333645,3.19,3.59,3.7,B6IIIe         ,
* q Tau                        ,56.30206575,24.46728048,3.73,4.19,4.3,B6IV           ,
* 23 Tau                       ,56.58155768,23.9483559,3.7,4.12,4.18,B6IVe          ,
* eta Tau                      ,56.87115231,24.10513565,2.44,2.78,2.87,B7III          ,
* 16 Tau                       ,56.2008966,24.2894681,5.09,5.42,5.46,B7IV           ,
* 20 Tau                       ,56.45669401,24.36774621,3.4,3.8,3.87,B8III          ,
* 27 Tau                       ,57.2905941,24.05341675,3.18,3.54,3.63,B8III          ,
* 18 Tau                       ,56.29058301,24.83926021,5.21,5.57,5.64,B8V            ,
HD 23753                       ,57.08673223,23.42125045,5.06,5.38,5.45,B8V            ,
* 21 Tau                       ,56.4769867,24.5545097,5.49,5.72,5.76,B8V            ,
* 28 Tau                       ,57.29673229,24.13671084,4.73,5.01,5.09,B8Vne          ,
HD 23777                       ,57.1745475,25.8007414,8.61,8.55,8.44,B9             ,
EGGR 25                        ,58.04715,24.930278,15.42,16.32,16.52,DA1.5          ,
HD 24132                       ,57.8633933,24.5186506,9.3,9.24,8.84,F2V            ,
HD 23326                       ,56.2720146,23.7026694,9.632,9.34,8.99,F2V            ,
HD 23732                       ,57.0703142,25.2151192,9.67,9.62,9.21,F4V            ,
HD 23513                       ,56.6666533,23.1103306,9.85,9.91,9.4,F5V            ,
HD 23514                       ,56.6599704,22.9197767,9.95,9.93,9.43,F5V            ,
HD 23061                       ,55.7296454,24.4930683,9.96,9.9,9.46,F5V            ,
BD 23 513                      ,56.422433,24.2886,10.08,9.97,9.45,F5V            
 V1045 Tau                   ,56.594479,24.570178,11.17,11.4,10.8,F8             ,
HD 23935                       ,57.470485,25.6474497,10.16,10.086,9.579,F8             ,
BD 23 521                      ,56.5749592,23.4866481,11.984,11.4,10.6,F8V            
HD 282965                      ,57.298858,24.636606,11.15,11.2,10.6,F9V            ,
BD 23 551                      ,57.070458,23.636806,10.74,10.67,10.11,F9V            
HD 23975                       ,57.5736362,25.3795678,10.17,10.146,9.733,G0             ,
BD 23 527                      ,56.723908,23.5836,11.607,11.1,10.6,G0V            
TYC 1799-102-1                 ,55.883137,23.674075,11.949,11.5,11.1,G1             ,
 V1038 Tau                   ,56.0837087,24.7961667,11.26,11.2,10.4,G1-2V          ,
Cl* Melotte 22 DH 262          ,55.8522475,23.2259281,11.39,11.2,10.7,G1V            ,
 V1041 Tau                   ,56.4142,23.754283,14.355,13.42,12.26,G2V            ,
Cl* Melotte 22 SRS 68435       ,56.358242,23.430206,13.949,13.214,12.231,G4V            ,
 V1046 Tau                   ,56.7288337,24.7963417,11.28,11.5,10.6,G5             ,
 V811 Tau                    ,56.338283,23.7275,14.771,13.67,12.57,G5             ,
 V963 Tau                    ,55.9072112,23.5359897,11.82,11.4,10.6,G5V            ,
HD 282975                      ,56.6570012,23.7877192,11.533,10.8,10,G6V            ,
 V844 Tau                    ,55.676596,23.502872,12.6,13.355,12.353,G7IV           ,
 V1065 Tau                   ,56.667671,23.497789,14.016,13.01,12.02,G7V            ,
 V810 Tau                    ,55.762229,24.669736,15.149,12.97,12.03,G8             ,
