Day,RV (m/s)
2.99,-39
3.09,-45
3.29,-46
3.89,-18
3.99,-11
4.09,-3
4.79,52
4.99,61
5.09,66
5.79,48
6.09,21
11.79,-44
11.99,-38
12.79,30
13.09,36
13.79,67
13.99,58
14.79,1
14.89,-2
14.99,-9
15.09,-23
15.79,-48
15.99,-43
16.09,-55
16.79,13
16.89,15
17.09,42
17.09,19
17.99,67
18.09,64
18.79,29
18.99,9
19.09,-5
19.99,-57
20.09,-56
20.69,-18
20.99,-5
21.09,9
21.79,60
21.89,61
21.99,69
23.69,-32
23.79,-29
23.89,-35
23.99,-40
24.79,-31
24.99,-25
25.09,-21
25.69,48
25.89,49
25.99,58
26.69,73
26.79,68
26.89,65
26.99,53
27.79,-20
27.89,-29
28.69,-42
28.79,-36
28.89,-34
28.99,-30
29.79,27
29.89,39
29.99,44
30.69,63
30.79,66
30.89,60
30.99,53
31.79,4
31.99,0
