HJD-2450000,mag,error
2102.476587,14.741,0.005
2105.612144,14.853,0.005
2106.576739,14.871,0.005
2104.691702,14.818,0.005
2111.638519,14.679,0.005
2103.782654,14.774,0.006
2104.777396,14.826,0.005
2105.809407,14.847,0.005
2118.644919,14.846,0.005
2119.733427,14.826,0.005
2120.626333,14.796,0.006
2123.662903,14.675,0.005
2112.810110,14.681,0.005
2113.766990,14.712,0.005
2116.762018,14.833,0.005
2118.774291,14.845,0.005
2119.769271,14.800,0.005
2120.865375,14.742,0.005
2131.830330,14.808,0.006
2132.777003,14.755,0.005
2126.843799,14.748,0.005
2130.838317,14.873,0.005
2131.921603,14.812,0.005
2135.823067,14.660,0.005
2124.959830,14.695,0.005
2125.940330,14.730,0.005
2129.831350,14.868,0.005
2125.045287,14.689,0.005
2126.009407,14.728,0.005
2128.103814,14.807,0.005
2129.024731,14.853,0.006
2131.035699,14.874,0.005
2132.088956,14.821,0.005
2133.008567,14.749,0.005
2134.029777,14.691,0.005
2134.998052,14.668,0.005
2136.063890,14.661,0.005
2130.142437,14.876,0.005
2132.188893,14.790,0.005
2133.135091,14.744,0.005
2125.310560,14.685,0.005
2128.247667,14.804,0.005
2129.248225,14.863,0.005
2130.256498,14.879,0.005
2131.241864,14.866,0.006
2132.256309,14.805,0.005
2134.241283,14.691,0.005
2124.416941,14.669,0.005
2127.385857,14.793,0.005
2129.441571,14.864,0.005
2131.373016,14.862,0.006
2134.355701,14.700,0.005
2124.438187,14.705,0.005
2126.442864,14.736,0.005
2128.528250,14.825,0.005
2130.447708,14.877,0.006
2135.485156,14.686,0.005
2125.637788,14.714,0.005
2131.568143,14.826,0.005
2133.618753,14.732,0.005
2124.733963,14.707,0.005
2126.754544,14.760,0.005
2131.747009,14.817,0.005
2135.701885,14.682,0.005
2128.844441,14.853,0.005
2130.842709,14.866,0.006
2132.875753,14.750,0.005
2134.860134,14.683,0.005
2125.958727,14.748,0.005
2129.999178,14.851,0.005
2134.992830,14.691,0.005
2125.123504,14.698,0.005
